Aug 14 00:14:58 sweb-vs-001 postfix/smtp[9698]: A185A41ED7: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.8, delays=0.07/0.18/0.28/1.3, dsn=2.0.0, status=sent (250 2.0.0 t7E4EuKP011262 Message accepted for delivery)
Aug 14 09:18:20 sweb-vs-001 postfix/smtp[25783]: D71D9421E9: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1.7, delays=0.05/0.06/0.24/1.4, dsn=2.0.0, status=sent (250 2.0.0 t7EDIIs5012735 Message accepted for delivery)
Aug 14 09:18:20 sweb-vs-001 postfix/smtp[25781]: D71D9421E9: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.7, delays=0.05/0.04/0.24/1.4, dsn=2.0.0, status=sent (250 2.0.0 t7EDIITl012734 Message accepted for delivery)
Aug 14 09:18:20 sweb-vs-001 postfix/smtp[25793]: 041C6421F5: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1.6, delays=0.02/0.03/0.2/1.4, dsn=2.0.0, status=sent (250 2.0.0 t7EDIITT012739 Message accepted for delivery)
Aug 14 09:18:20 sweb-vs-001 postfix/smtp[25791]: 041C6421F5: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.6, delays=0.02/0.01/0.21/1.4, dsn=2.0.0, status=sent (250 2.0.0 t7EDIISC012738 Message accepted for delivery)
Aug 14 09:37:50 sweb-vs-001 postfix/smtp[26345]: 06EF14223C: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2, delays=0.05/0.09/0.26/1.6, dsn=2.0.0, status=sent (250 2.0.0 t7EDblal009631 Message accepted for delivery)
Aug 14 09:37:50 sweb-vs-001 postfix/smtp[26338]: 1B2844223F: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2, delays=0.05/0.08/0.23/1.6, dsn=2.0.0, status=sent (250 2.0.0 t7EDblBX009634 Message accepted for delivery)
Aug 14 09:37:50 sweb-vs-001 postfix/smtp[26349]: 1B2844223F: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2, delays=0.05/0.06/0.24/1.7, dsn=2.0.0, status=sent (250 2.0.0 t7EDblQv009633 Message accepted for delivery)
Aug 14 09:37:50 sweb-vs-001 postfix/smtp[26337]: F2D4F4223D: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.2, delays=0.06/0.03/0.39/1.7, dsn=2.0.0, status=sent (250 2.0.0 t7EDblpE009627 Message accepted for delivery)
Aug 14 09:37:50 sweb-vs-001 postfix/smtp[26340]: F2D4F4223D: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.2, delays=0.06/0.06/0.29/1.8, dsn=2.0.0, status=sent (250 2.0.0 t7EDblSf009628 Message accepted for delivery)
Aug 14 09:53:59 sweb-vs-001 postfix/smtp[26839]: 6D9F642299: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.4, delays=0.05/0.02/0.26/1.1, dsn=2.0.0, status=sent (250 2.0.0 t7EDrvec030887 Message accepted for delivery)
Aug 14 09:53:59 sweb-vs-001 postfix/smtp[26841]: 6D9F642299: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1.5, delays=0.05/0.04/0.28/1.1, dsn=2.0.0, status=sent (250 2.0.0 t7EDrva8030891 Message accepted for delivery)
Aug 14 09:53:59 sweb-vs-001 postfix/smtp[26835]: 5D57142298: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.6, delays=0.06/0.04/0.33/1.2, dsn=2.0.0, status=sent (250 2.0.0 t7EDrv1I030886 Message accepted for delivery)
Aug 14 09:54:00 sweb-vs-001 postfix/smtp[26829]: 4CFA842297: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1.7, delays=0.05/0.04/0.41/1.2, dsn=2.0.0, status=sent (250 2.0.0 t7EDrvvL030883 Message accepted for delivery)
Aug 14 09:54:00 sweb-vs-001 postfix/smtp[26827]: 4CFA842297: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.1, delays=0.05/0.03/0.39/1.6, dsn=2.0.0, status=sent (250 2.0.0 t7EDrvUV030882 Message accepted for delivery)
Aug 14 10:08:30 sweb-vs-001 postfix/smtp[27342]: D6D3E422B3: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.3, delays=0.04/0.27/0.29/1.7, dsn=2.0.0, status=sent (250 2.0.0 t7EE8STC019395 Message accepted for delivery)
Aug 14 10:08:30 sweb-vs-001 postfix/smtp[27336]: C9CF7422B0: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.3, delays=0.05/0.18/0.42/1.7, dsn=2.0.0, status=sent (250 2.0.0 t7EE8Sd6019390 Message accepted for delivery)
Aug 14 10:08:30 sweb-vs-001 postfix/smtp[27341]: D6D3E422B3: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.3, delays=0.04/0.24/0.33/1.7, dsn=2.0.0, status=sent (250 2.0.0 t7EE8SUH019394 Message accepted for delivery)
Aug 14 10:08:30 sweb-vs-001 postfix/smtp[27330]: BC324422B1: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.5, delays=0.09/0.06/0.47/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EE8SIk019391 Message accepted for delivery)
Aug 14 10:08:30 sweb-vs-001 postfix/smtp[27333]: BC324422B1: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.6, delays=0.09/0.11/0.54/1.8, dsn=2.0.0, status=sent (250 2.0.0 t7EE8S2l019389 Message accepted for delivery)
Aug 14 10:20:49 sweb-vs-001 postfix/smtp[27715]: 32542422CA: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2, delays=0.07/0.03/0.23/1.6, dsn=2.0.0, status=sent (250 2.0.0 t7EEKlq3006239 Message accepted for delivery)
Aug 14 10:20:49 sweb-vs-001 postfix/smtp[27708]: 27484422CB: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.3, delays=0.07/0.02/0.29/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EEKkc4006233 Message accepted for delivery)
Aug 14 10:20:49 sweb-vs-001 postfix/smtp[27718]: 3D330422CC: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.2, delays=0.04/0.03/0.26/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EEKl8m006240 Message accepted for delivery)
Aug 14 10:20:49 sweb-vs-001 postfix/smtp[27720]: 3D330422CC: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.2, delays=0.04/0.06/0.25/1.8, dsn=2.0.0, status=sent (250 2.0.0 t7EEKlqL006244 Message accepted for delivery)
Aug 14 10:20:49 sweb-vs-001 postfix/smtp[27712]: 27484422CB: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.3, delays=0.07/0.04/0.25/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EEKkwY006236 Message accepted for delivery)
Aug 14 10:41:56 sweb-vs-001 postfix/smtp[28331]: 2453B42304: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=7.7, delays=0.03/0.07/0.43/7.1, dsn=2.0.0, status=sent (250 2.0.0 t7EEfmN5003663 Message accepted for delivery)
Aug 14 10:41:56 sweb-vs-001 postfix/smtp[28333]: 2453B42304: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=7.7, delays=0.03/0.09/0.37/7.2, dsn=2.0.0, status=sent (250 2.0.0 t7EEfmTt003664 Message accepted for delivery)
Aug 14 10:41:58 sweb-vs-001 postfix/smtp[28322]: 10FE842302: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=10, delays=0.07/0.04/0.53/9.3, dsn=2.0.0, status=sent (250 2.0.0 t7EEfm6n003656 Message accepted for delivery)
Aug 14 10:41:58 sweb-vs-001 postfix/smtp[28318]: 10FE842302: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=10, delays=0.07/0.02/0.52/9.4, dsn=2.0.0, status=sent (250 2.0.0 t7EEfmcg003655 Message accepted for delivery)
Aug 14 10:41:58 sweb-vs-001 postfix/smtp[28327]: 1A18242301: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=9.9, delays=0.04/0.08/0.47/9.3, dsn=2.0.0, status=sent (250 2.0.0 t7EEfm4r003661 Message accepted for delivery)
Aug 14 11:09:50 sweb-vs-001 postfix/smtp[29188]: 1007A42402: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2, delays=0.03/0.04/0.54/1.4, dsn=2.0.0, status=sent (250 2.0.0 t7EF9mVm009577 Message accepted for delivery)
Aug 14 11:09:50 sweb-vs-001 postfix/smtp[29178]: E41D642400: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.6, delays=0.06/0.05/0.62/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EF9m9m009576 Message accepted for delivery)
Aug 14 11:09:50 sweb-vs-001 postfix/smtp[29176]: E41D642400: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.6, delays=0.06/0.02/0.65/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EF9mEW009575 Message accepted for delivery)
Aug 14 11:09:50 sweb-vs-001 postfix/smtp[29186]: 1007A42402: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.5, delays=0.03/0.01/0.56/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EF9mTn009574 Message accepted for delivery)
Aug 14 11:09:52 sweb-vs-001 postfix/smtp[29182]: F3DFD42401: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=4.3, delays=0.05/0.03/0.6/3.6, dsn=2.0.0, status=sent (250 2.0.0 t7EF9mvB009573 Message accepted for delivery)
Aug 14 11:17:49 sweb-vs-001 postfix/smtp[29484]: 84B904249B: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=6.9, delays=0.04/0.05/0.25/6.6, dsn=2.0.0, status=sent (250 2.0.0 t7EFHgLm021184 Message accepted for delivery)
Aug 14 11:17:49 sweb-vs-001 postfix/smtp[29492]: 84B904249B: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=6.9, delays=0.04/0.03/0.27/6.6, dsn=2.0.0, status=sent (250 2.0.0 t7EFHgsY021182 Message accepted for delivery)
Aug 14 11:17:57 sweb-vs-001 postfix/smtp[29488]: 72A8642407: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=15, delays=0.03/0.07/0.23/14, dsn=2.0.0, status=sent (250 2.0.0 t7EFHgA9021181 Message accepted for delivery)
Aug 14 11:17:57 sweb-vs-001 postfix/smtp[29482]: 6A4C642497: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=15, delays=0.06/0.04/0.35/14, dsn=2.0.0, status=sent (250 2.0.0 t7EFHgaI021173 Message accepted for delivery)
Aug 14 11:17:57 sweb-vs-001 postfix/smtp[29480]: 6A4C642497: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=15, delays=0.06/0.02/0.37/14, dsn=2.0.0, status=sent (250 2.0.0 t7EFHgYh021172 Message accepted for delivery)
Aug 14 11:30:39 sweb-vs-001 postfix/smtp[29884]: 1C03042595: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.8, delays=0.06/0.01/0.23/2.5, dsn=2.0.0, status=sent (250 2.0.0 t7EFUaIA012489 Message accepted for delivery)
Aug 14 11:30:40 sweb-vs-001 postfix/smtp[29886]: 1C03042595: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=3.2, delays=0.06/0.03/0.23/2.8, dsn=2.0.0, status=sent (250 2.0.0 t7EFUaZF012492 Message accepted for delivery)
Aug 14 11:30:42 sweb-vs-001 postfix/smtp[29873]: F146242593: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=6, delays=0.07/0.03/0.35/5.5, dsn=2.0.0, status=sent (250 2.0.0 t7EFUabY012477 Message accepted for delivery)
Aug 14 11:30:43 sweb-vs-001 postfix/smtp[29881]: 0261742592: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=6.4, delays=0.05/0.04/0.3/6, dsn=2.0.0, status=sent (250 2.0.0 t7EFUaAr012483 Message accepted for delivery)
Aug 14 11:30:43 sweb-vs-001 postfix/smtp[29875]: F146242593: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=6.5, delays=0.07/0.05/0.31/6.1, dsn=2.0.0, status=sent (250 2.0.0 t7EFUa8S012479 Message accepted for delivery)
Aug 14 11:39:04 sweb-vs-001 postfix/smtp[30157]: 6CB6242619: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.8, delays=0.08/0.01/0.3/2.4, dsn=2.0.0, status=sent (250 2.0.0 t7EFd0aq028704 Message accepted for delivery)
Aug 14 11:39:04 sweb-vs-001 postfix/smtp[30126]: 51E5E42617: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=3, delays=0.07/0.02/0.33/2.6, dsn=2.0.0, status=sent (250 2.0.0 t7EFd0im028700 Message accepted for delivery)
Aug 14 11:39:04 sweb-vs-001 postfix/smtp[30158]: 6CB6242619: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.9, delays=0.08/0.03/0.25/2.5, dsn=2.0.0, status=sent (250 2.0.0 t7EFd0Ma028705 Message accepted for delivery)
Aug 14 11:39:04 sweb-vs-001 postfix/smtp[30153]: 58EE342616: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=3, delays=0.03/0.08/0.34/2.6, dsn=2.0.0, status=sent (250 2.0.0 t7EFd0jM028703 Message accepted for delivery)
Aug 14 11:39:05 sweb-vs-001 postfix/smtp[30128]: 51E5E42617: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=3.9, delays=0.07/0.05/0.38/3.4, dsn=2.0.0, status=sent (250 2.0.0 t7EFd0c5028702 Message accepted for delivery)
Aug 14 11:42:44 sweb-vs-001 postfix/smtp[30258]: B806042667: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.2, delays=0.05/0.03/0.26/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EFggOj002713 Message accepted for delivery)
Aug 14 11:42:44 sweb-vs-001 postfix/smtp[30269]: B806042667: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.2, delays=0.05/0.04/0.27/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EFggCO002715 Message accepted for delivery)
Aug 14 11:42:45 sweb-vs-001 postfix/smtp[30264]: A7EC242664: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.4, delays=0.02/0.07/0.35/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EFggbp002712 Message accepted for delivery)
Aug 14 11:42:45 sweb-vs-001 postfix/smtp[30259]: A260B42665: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.6, delays=0.05/0.05/0.39/2.1, dsn=2.0.0, status=sent (250 2.0.0 t7EFggn9002710 Message accepted for delivery)
Aug 14 11:42:45 sweb-vs-001 postfix/smtp[30257]: A260B42665: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.6, delays=0.05/0.03/0.37/2.2, dsn=2.0.0, status=sent (250 2.0.0 t7EFggSE002709 Message accepted for delivery)
Aug 14 11:45:07 sweb-vs-001 postfix/smtp[30364]: A2B8442697: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.6, delays=0.07/0.03/0.4/1.1, dsn=2.0.0, status=sent (250 2.0.0 t7EFj5vI006544 Message accepted for delivery)
Aug 14 11:45:07 sweb-vs-001 postfix/smtp[30364]: A2B8442697: to=<sari.roston@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.6, delays=0.07/0.03/0.4/1.1, dsn=2.0.0, status=sent (250 2.0.0 t7EFj5vI006544 Message accepted for delivery)
Aug 14 11:45:07 sweb-vs-001 postfix/smtp[30367]: C65FB42699: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1.7, delays=0.08/0.02/0.26/1.3, dsn=2.0.0, status=sent (250 2.0.0 t7EFj5AW006559 Message accepted for delivery)
Aug 14 11:45:07 sweb-vs-001 postfix/smtp[30372]: B437442696: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.8, delays=0.06/0.03/0.34/1.4, dsn=2.0.0, status=sent (250 2.0.0 t7EFj5Zj006551 Message accepted for delivery)
Aug 14 11:45:07 sweb-vs-001 postfix/smtp[30366]: A2B8442697: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1.9, delays=0.07/0.05/0.37/1.4, dsn=2.0.0, status=sent (250 2.0.0 t7EFj551006546 Message accepted for delivery)
Aug 14 11:45:08 sweb-vs-001 postfix/smtp[30375]: C65FB42699: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.4, delays=0.08/0.01/0.28/2, dsn=2.0.0, status=sent (250 2.0.0 t7EFj513006556 Message accepted for delivery)
Aug 14 11:48:06 sweb-vs-001 postfix/smtp[30477]: EA0E3426D3: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.2, delays=0.1/0.02/0.36/0.74, dsn=2.0.0, status=sent (250 2.0.0 t7EFm4LO011691 Message accepted for delivery)
Aug 14 11:48:06 sweb-vs-001 postfix/smtp[30477]: EA0E3426D3: to=<sari.roston@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.2, delays=0.1/0.02/0.36/0.74, dsn=2.0.0, status=sent (250 2.0.0 t7EFm4LO011691 Message accepted for delivery)
Aug 14 11:48:12 sweb-vs-001 postfix/smtp[30490]: 09690426D2: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=7.9, delays=0.12/0.01/0.24/7.5, dsn=2.0.0, status=sent (250 2.0.0 t7EFm4cn011704 Message accepted for delivery)
Aug 14 11:48:13 sweb-vs-001 postfix/smtp[30491]: 09690426D2: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=8.1, delays=0.12/0.03/0.26/7.7, dsn=2.0.0, status=sent (250 2.0.0 t7EFm4PV011705 Message accepted for delivery)
Aug 14 11:48:18 sweb-vs-001 postfix/smtp[30485]: F1021426D1: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=14, delays=0.09/0.08/0.29/13, dsn=2.0.0, status=sent (250 2.0.0 t7EFm4cl011703 Message accepted for delivery)
Aug 14 11:48:18 sweb-vs-001 postfix/smtp[30481]: EA0E3426D3: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=14, delays=0.1/0.04/0.38/13, dsn=2.0.0, status=sent (250 2.0.0 t7EFm4up011699 Message accepted for delivery)
Aug 14 11:48:19 sweb-vs-001 postfix/smtp[30492]: 9F368426DD: to=<noreply@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=0.38, delays=0.06/0/0.22/0.09, dsn=5.1.1, status=bounced (host sinairally.org.mf.canit.ca[174.142.115.37] said: 550 5.1.1 <noreply@sinairally.org>... User unknown (in reply to RCPT TO command))
Aug 14 11:50:13 sweb-vs-001 postfix/smtp[30560]: E82F6426FC: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=0.83, delays=0.08/0.03/0.22/0.5, dsn=2.0.0, status=sent (250 2.0.0 t7EFoC9B015322 Message accepted for delivery)
Aug 14 11:50:13 sweb-vs-001 postfix/smtp[30560]: E82F6426FC: to=<sari.roston@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=0.83, delays=0.08/0.03/0.22/0.5, dsn=2.0.0, status=sent (250 2.0.0 t7EFoC9B015322 Message accepted for delivery)
Aug 14 11:50:17 sweb-vs-001 postfix/smtp[30571]: 0EE36426FE: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=4.9, delays=0.05/0.09/0.25/4.5, dsn=2.0.0, status=sent (250 2.0.0 t7EFoCHs015330 Message accepted for delivery)
Aug 14 11:50:17 sweb-vs-001 postfix/smtp[30562]: 0EE36426FE: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=4.9, delays=0.05/0.07/0.22/4.6, dsn=2.0.0, status=sent (250 2.0.0 t7EFoCDA015329 Message accepted for delivery)
Aug 14 11:50:24 sweb-vs-001 postfix/smtp[30566]: 02EBC426FB: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=12, delays=0.07/0.08/0.21/12, dsn=2.0.0, status=sent (250 2.0.0 t7EFoCL7015325 Message accepted for delivery)
Aug 14 11:50:25 sweb-vs-001 postfix/smtp[30564]: E82F6426FC: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=12, delays=0.08/0.05/0.21/12, dsn=2.0.0, status=sent (250 2.0.0 t7EFoCNw015323 Message accepted for delivery)
